name,team,position,owner,age,careerGames,seasons,adp,ownedPct,projAvg,avgPts,totalPts,L5,L3,L1,games,TOG%,kicks,handballs,marks,hitouts,tackles,freesFor,freesAgainst,goals,behinds
"Blake Hardwick",HAW,DEF,"Banks' Palm Cards",29,207,11,,59.23,62.7,70.9,638,76,57,46,9,91.7,11.7,5.7,5.6,0,2.4,0.8,0.9,0,0
"Karl Worner",FRE,DEF,"Free Agent",23,40,5,,43.78,57.5,70.9,638,73.2,75.3,58,9,78.4,10.6,6.4,5.8,0,2.7,1,0.9,0,0
"Matty Roberts",SYD,DEF/MID,"Jags to riches",22,57,5,106.5,89.33,83,70.9,638,74.2,69.7,28,9,80.9,10.9,7.7,4.4,0,1.8,1.7,0.3,0.2,0.4
"Rowan Marshall",STK,RUC,"JD Vyvance",30,164,10,56.7,97.95,98.6,70.8,566,84,90,69,8,74.5,8.3,6.8,4.1,12.5,1.9,1.3,1.5,0.5,0.4
"Luke McDonald",NTH,DEF,"Free Agent",31,227,13,,35.16,60.3,70.6,635,67.4,56.3,66,9,85.7,11.7,5.6,6,0,2,0.8,1,0.1,0
"Harry Perryman",COL,DEF,"Free Agent",27,162,10,262.9,65.12,66.3,70.5,564,71.6,76,47,8,75.8,10.6,6.8,5.3,0,2.6,0.5,0.6,0,0.3
"Harry Rowston",GWS,MID,"Free Agent",21,21,4,191.9,67.31,70.1,70.5,282,70.5,73,93,4,67,11,4.8,4.5,0,2.8,0.3,0.5,0.8,0.3
"Jacob Farrow",ESS,DEF/MID,"Lachie’s Flesh Clarrynet",18,7,1,162.4,88.24,62.5,70.4,493,65.2,55.3,43,7,77.3,10.9,6.6,7,0,1,0.4,0.3,0,0.1
"Sam Lalor",RIC,MID/FWD,"Baz’s 8-balls",19,18,2,92.6,91.79,64.6,70.4,493,69.2,72.3,66,7,75.7,10.4,6.1,4.1,0,2.7,0.9,1.6,1.1,0.6
"Logan Evans",PTA,DEF,"Jags to riches",20,33,3,323.8,67.31,57.5,70.3,703,68.6,85.3,57,10,86,13.1,3.9,6,0,1.7,0.8,1,0.1,0
"Riley Thilthorpe",ADE,FWD,"JD Vyvance",23,87,6,54.3,96.85,84,70.2,632,63,51,59,9,86.3,9.2,3.6,5.3,1.1,1.7,1.3,0.2,1.6,1.7
